Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Class
42,19,50,21,5,16,30,25,1
19,1,17,2,4,76,1,33,1
13,4,10,7,13,74,15,3,1
55,38,46,52,7,94,63,45,1
41,23,27,29,3,121,76,34,1
42,8,9,9,6,51,13,24,1
15,2,0,1,10,1,2,17,1
37,12,19,43,10,35,17,10,1
25,13,49,35,6,42,52,27,1
7,1,13,14,7,11,23,46,1
9,4,27,10,15,85,18,11,1
50,13,10,12,12,62,36,57,1
89,20,13,6,22,67,58,80,1
99,5,6,30,4,32,27,52,1
19,34,72,78,8,84,28,12,1
15,8,16,19,3,24,5,4,1
86,13,22,20,6,4,3,32,1
67,8,27,14,26,51,35,48,1
43,5,39,12,3,43,11,34,1
33,7,12,19,1,35,39,36,1
14,14,31,5,0,26,19,18,1
62,16,19,2,13,11,44,64,1
8,26,33,21,8,1,0,40,1
10,10,16,5,11,42,13,6,1
16,12,13,3,7,24,10,46,1
6,13,12,4,10,32,14,7,1
63,1,32,34,11,35,48,50,1
62,4,51,24,2,19,12,14,1
6,19,39,15,3,26,36,1,1
25,12,52,23,8,78,7,8,1
5,15,24,3,11,71,11,36,1
12,10,36,10,13,66,23,27,1
63,9,13,5,1,59,49,17,1
29,8,6,21,6,66,28,4,1
16,13,27,42,4,34,6,6,1
31,4,26,16,1,52,17,28,1
60,12,39,32,9,9,30,20,1
12,6,7,4,2,72,27,19,1
15,5,13,3,10,6,2,20,1
24,4,10,7,1,57,22,37,1
35,16,7,11,4,8,6,8,1
5,1,20,2,6,83,15,22,1
41,28,63,48,1,20,39,67,1
12,8,31,10,3,7,28,46,1
22,26,52,27,6,4,35,18,1
38,24,18,20,9,27,34,54,1
22,9,5,19,0,51,2,18,1
8,4,18,5,6,24,14,24,1
14,2,10,12,13,10,12,12,1
20,9,31,17,6,60,38,37,1
49,35,65,39,3,60,42,32,1
4,4,36,21,9,28,32,26,1
2,9,39,33,12,37,33,37,1
19,3,1,10,5,11,7,0,1
41,17,68,3,5,72,11,14,1
7,19,85,62,10,7,41,46,1
18,8,10,14,9,42,8,3,1
26,13,22,40,7,108,7,16,1
